HGNC.ID	ENSG	Symbol
HGNC:9449	ENSG00000171867	CD230
HGNC:9449	ENSG00000171867	PRP
HGNC:9449	ENSG00000171867	AltPrP
HGNC:18046	ENSG00000180259	PRNT
HGNC:18046	ENSG00000180259	M8
HGNC:9450		PRO1
HGNC:9450		HGPS
HGNC:41906	ENSG00000228672	PROB1
HGNC:41906	ENSG00000228672	C5orf65
HGNC:9451	ENSG00000115718	PROC
HGNC:28600	ENSG00000167525	PROCA1
HGNC:28600	ENSG00000167525	MGC39650
HGNC:9452	ENSG00000101000	PROCR
HGNC:9452	ENSG00000101000	EPCR
HGNC:9452	ENSG00000101000	CCD41
HGNC:9452	ENSG00000101000	CD201
HGNC:9453	ENSG00000100033	PRODH
HGNC:9453	ENSG00000100033	HSPOX2
HGNC:9453	ENSG00000100033	PRODH1
HGNC:9453	ENSG00000100033	PIG6
HGNC:9453	ENSG00000100033	PRODH2
HGNC:9453	ENSG00000100033	TP53I6
HGNC:17325	ENSG00000250799	PRODH2
HGNC:17325	ENSG00000250799	HSPOX1
HGNC:18454	ENSG00000143125	PROK1
HGNC:18454	ENSG00000143125	PK1
HGNC:18454	ENSG00000143125	PRK1
HGNC:18454	ENSG00000143125	EGVEGF
HGNC:18455	ENSG00000163421	PROK2
HGNC:18455	ENSG00000163421	PK2
HGNC:18455	ENSG00000163421	BV8
HGNC:18455	ENSG00000163421	MIT1
HGNC:18455	ENSG00000163421	KAL4
HGNC:4524	ENSG00000169618	PROKR1
HGNC:4524	ENSG00000169618	GPR73
HGNC:4524	ENSG00000169618	PKR1
HGNC:4524	ENSG00000169618	ZAQ
HGNC:4524	ENSG00000169618	GPR73a
HGNC:15836	ENSG00000101292	PROKR2
HGNC:15836	ENSG00000101292	GPR73L1
HGNC:15836	ENSG00000101292	KAL3
HGNC:15836	ENSG00000101292	GPR73b
HGNC:15836	ENSG00000101292	PKR2
HGNC:15836	ENSG00000101292	GPRg2
HGNC:15836	ENSG00000101292	dJ680N4.3
HGNC:9454	ENSG00000007062	PROM1
HGNC:9454	ENSG00000007062	PROML1
HGNC:9454	ENSG00000007062	MCDR2
HGNC:9454	ENSG00000007062	STGD4
HGNC:9454	ENSG00000007062	AC133
HGNC:9454	ENSG00000007062	CD133
HGNC:9454	ENSG00000007062	RP41
HGNC:9454	ENSG00000007062	CORD12
HGNC:20685	ENSG00000155066	PROM2
HGNC:9455	ENSG00000175325	PROP1
HGNC:19958	ENSG00000100890	PRORP
HGNC:19958	ENSG00000100890	KIAA0391
HGNC:19958	ENSG00000100890	MRPP3
HGNC:34379	ENSG00000162997	PRORSD1P
HGNC:34379	ENSG00000162997	NCRNA00117
HGNC:34379	ENSG00000162997	PRDXDD1P
HGNC:34379	ENSG00000162997	Prdxdd1
HGNC:34379	ENSG00000162997	Ybakd1
HGNC:34379	ENSG00000162997	ProX
HGNC:34379	ENSG00000162997	ProXp-ala
HGNC:38732	ENSG00000183146	PRORY
HGNC:38732	ENSG00000183146	CYorf17
HGNC:9456	ENSG00000184500	PROS1
HGNC:9456	ENSG00000184500	PROS
HGNC:9458	ENSG00000189002	PROS2P
HGNC:9458	ENSG00000189002	PROS2
HGNC:9458	ENSG00000189002	PROSP
HGNC:20291	ENSG00000120685	PROSER1
HGNC:20291	ENSG00000120685	C13orf23
HGNC:20291	ENSG00000120685	bA50D16.2
HGNC:20291	ENSG00000120685	FLJ12661
HGNC:23728	ENSG00000148426	PROSER2
HGNC:23728	ENSG00000148426	C10orf47
HGNC:23728	ENSG00000148426	MGC35403
HGNC:27343	ENSG00000225778	PROSER2-AS1
HGNC:25204	ENSG00000167595	PROSER3
HGNC:25204	ENSG00000167595	C19orf55
HGNC:25204	ENSG00000167595	FLJ30657
HGNC:9459	ENSG00000117707	PROX1
HGNC:43656	ENSG00000230461	PROX1-AS1
HGNC:41372		PROX1-IT1
HGNC:26715	ENSG00000119608	PROX2
HGNC:26715	ENSG00000119608	FLJ36749
HGNC:9460	ENSG00000126231	PROZ
HGNC:9460	ENSG00000126231	PZ
HGNC:17348	ENSG00000117360	PRPF3
HGNC:17348	ENSG00000117360	RP18
HGNC:17348	ENSG00000117360	Prp3
HGNC:17348	ENSG00000117360	hPrp3
HGNC:17348	ENSG00000117360	SNRNP90
HGNC:17349	ENSG00000136875	PRPF4
HGNC:17349	ENSG00000136875	Prp4p
HGNC:17349	ENSG00000136875	HPRP4
HGNC:17349	ENSG00000136875	HPRP4P
HGNC:17349	ENSG00000136875	PRP4
HGNC:17349	ENSG00000136875	SNRNP60
HGNC:17346	ENSG00000112739	PRPF4B
HGNC:17346	ENSG00000112739	Prp4
HGNC:17346	ENSG00000112739	PR4H
HGNC:17346	ENSG00000112739	KIAA0536
HGNC:55055	ENSG00000224217	PRPF4BP1
HGNC:15860	ENSG00000101161	PRPF6
HGNC:15860	ENSG00000101161	C20orf14
HGNC:15860	ENSG00000101161	TOM
HGNC:15860	ENSG00000101161	bB152O15.1
HGNC:15860	ENSG00000101161	ANT-1
HGNC:15860	ENSG00000101161	U5-102K
HGNC:15860	ENSG00000101161	Prp6
HGNC:15860	ENSG00000101161	hPrp6
HGNC:15860	ENSG00000101161	SNRNP102
